name,portrait,team,role,vimeo_id
Andrew Mangino,andrew,payroll leadership board,"Co-Founder & CEO ",125599915
Kanya Balakrishna,kanya,payroll leadership board,"Co-Founder & President ",125593002
Aly Fox,aly,payroll nh,"Chief Dream Director, New Haven",
Christian Shaboo,christian,payroll nh,"Dream Director, New Haven",125599911
Divine Bradley,divine,payroll hq,"Social Imagineer ",125131436
Gemar Mills,gemar,payroll newark,"Chief Dream Director, Chief Education Officer ",
Kat Evasco,kat,payroll sf,"Chief Dream Director, San Francisco ",
Kleaver Cruz,kleaver,payroll nyc,"Chief Dream Director, NYC ",125133841
Pat Murray,pat,payroll detroit,"Chief Dream Director, Detroit ",
Sallomé Hralima,sallome,payroll hq leadership,"National Dream Director ",125132465
Shantrelle Lewis,shantrelle,payroll philly,"Chief Dream Director, Philadelphia ",125592252
Tim Shriver,timbo,FALSE,"Future Lab Research ",125593121
Voncia Barno Monchais,voncia,payroll dc,"Chief Dream Director, Washington, D.C. ",125133840
Dan McIntosh,dan,payroll hq,Storytelling,125604012
Franchesca Cifuentes,franchesca,payroll newark,"Movement Director, Newark ",
Sarah Tankoos,sarah,payroll nh,"Movement Director, New Haven ",125593005
Akua Soadwa,akua,payroll nh,"Dream Director, New Haven ",125593123
Alex Colby,alex,payroll hq,"Director of Inspiration, Filmmaker ",
Ali Oberg,ali,payroll hq,"Field Operations ",125134328
Andy Ogden,andy,payroll hq,"Creative Director ",125504563
Anjali Balakrishna,anjali,payroll hq,"Lead Designer ",125131432
Anna Luera,anna,payroll sf,"Dream Director, San Francisco",
Ashley Mui,ashley,payroll hq,"Experiences ",125593001
Ben Gellman,ben,payroll detroit,"Site Development ",
Ben Kimmerle,benk,payroll nyc,"Dream Director, NYC ",
Brandon Santiago,brandon,payroll hq,"Social Imagineer ",125131433
Brit Harley,brit,payroll newark,"Dream Director, Newark ",125599913
Carlos Walton,carlos,payroll newark,"Dream Director, Newark ",125133842
Chopp Stewart,chopp,payroll newark,"Dream Director, Newark ",
Chris Frank,chris,payroll hq,"Technology Director ",125131434
Chris Moncrief,crief,payroll nyc,"Dream Director, NYC ",
Christopher C. Horne,chrish,payroll detroit,"Dream Director, Detroit ",136231417
Daria Lombroso,daria,payroll hq,Director of Content,125592999
Dominique Mathews,dominique,payroll detroit,"Dream Director, Detroit ",
Eleanor Klufio,eleanor,payroll nyc,"Dream Director, NYC ",125592253
Emma Trout,emma,payroll newark,"Dream Director, Newark ",125592250
Erin Hinkle,erin,payroll hq,"Director of People ",125599909
Eve King,eve,payroll sf,"Dream Director, San Francisco ",125131563
Frank Brady,frank,payroll nh,"Dream Director, New Haven ",125592256
